id,cislo_listiny,kampan,slib,opora_kod,opora_popis,duvod,dosavadni_jednani,pravomoc,proveditelnost,politicke_podminky,protidukazy,vykonna_role,vykonna_odpovednost,nevyuzita_moznost_json,co_by_zmenilo_zaver,zdroj_url,lokator,dalsi_zdroje,hlasovani,overeno
K04-01,4,ANO,Rozvíjet tramvajové tratě i lanovku z Pisárek k univerzitnímu kampusu v Bohunicích.,bez_opory,Jen kydy!,"Hlasovalo se o veřejném projednání analýz lanovky z Pisárek k univerzitnímu kampusu v Bohunicích, ne o její stavbě; doložen není ani společný plán financování a povolení pro slíbené tramvajové tratě a lanovku.",Tomáš Hejl a Miroslav Kubásek při hlasu o veřejném projednání nehlasovali. Petrovi Bauerovi už mandát skončil. Přijetí petice na vědomí není hlas proti stavbě.,"Město ovlivňuje vlastní dopravu a její financování. Ceny a pravidla jízdného společného pro Brno a kraj, regionální spoje a státní stavby musí řešit i s krajem, dopravci nebo státem.","Tramvajové tratě a lanovka mají odlišné náklady, povolení a dopravní přínosy. Bez samostatného finančního a povolovacího rozboru nelze doložit cestu k celému závazku.",Václav Trojan připouští spolupráci s ODS i Piráty; jejich lídři Kamila Zlatušková a Adam Zemek ale spolupráci s ANO odmítají. Ochota jedné strany proto nestačí k dohodě o společném vedení města.,Nehlasování o veřejném projednání není hlas proti lanovce; vzetí petice na vědomí také ne.,ANO ve vedení od roku 2022; později rozkol,"ANO vstoupilo do městské koalice v roce 2022 s odpovědností za investice, bydlení a územní plánování. Po rozkolu v roce 2025 zůstali představitelé ve vedení mimo ANO; část dnes kandiduje za Brnoklidem. Dnešnímu týmu ANO proto nelze připsat všechny osobní kroky původního klubu, ale ani vymazat dřívější účast značky na vládnutí.",,Aktuální harmonogram a krytí konkrétních staveb.,https://tymbrno.cz/program/,Doprava,92070caf8da6904e;0f370d838d2a82a6;e13ec4718d18eb51;1c29efb307c38b4f;332eb5b3cdf99fc3;00986cd445f58d56,Z9-19-005;Z9-19-006,2026-09-20
K04-02,4,ANO,Zastavit zbytečné privatizace městských bytů.,bez_opory,Jen kydy!,"Kampaň neříká, které prodeje městských bytů považuje za „zbytečné“; její kandidáti podpořili prodej dvou městských bytových domů na Dornychu a později také omezení prodeje bytů.","Tomáš Hejl a Miroslav Kubásek podpořili prodej dvou městských bytových domů Dornych 29 a 31 soukromému developerovi. Kubásek později hlasoval pro zrušení starých pravidel pro prodej bytů. Program neříká, které prodeje považuje za zbytečné.","Město může investovat do vlastního bydlení, rozhodovat o majetku a pravidlech; u městských bytů spravovaných městskými částmi musí zapojit i jejich vedení. Soukromou výstavbu nemůže jednoduše nařídit.",Bez definice výjimek lze stejný převod vydávat za soulad i nesoulad s programem. Město má pravomoc o prodeji rozhodovat.,Václav Trojan připouští spolupráci s ODS i Piráty; jejich lídři Kamila Zlatušková a Adam Zemek ale spolupráci s ANO odmítají. Ochota jedné strany proto nestačí k dohodě o společném vedení města.,Nové omezení privatizace může být změnou politiky; starý prodej sám neprokazuje nepravdivý budoucí slib.,ANO ve vedení od roku 2022; později rozkol,"ANO vstoupilo do městské koalice v roce 2022 s odpovědností za investice, bydlení a územní plánování. Po rozkolu v roce 2025 zůstali představitelé ve vedení mimo ANO; část dnes kandiduje za Brnoklidem. Dnešnímu týmu ANO proto nelze připsat všechny osobní kroky původního klubu, ale ani vymazat dřívější účast značky na vládnutí.",,Seznam přípustných výjimek a závazná pravidla prodeje.,https://tymbrno.cz/program/,Bydlení,92070caf8da6904e;e4f8e48e77fd9841;e13ec4718d18eb51;1c29efb307c38b4f;332eb5b3cdf99fc3;00986cd445f58d56,Z9-25-057;Z9-32-036,2026-09-20
K04-03,4,ANO,Zavést školním dětem roční příspěvek 1 000 Kč na sport v Brně.,podminene,Podmíněně proveditelné,"Město už přes rodičovské vouchery přispívá na aktivity dětí, ale nový příspěvek 1 000 Kč ročně na sport potřebuje vlastní pravidla a peníze.",Dosavadní rodičovské vouchery jsou finanční příspěvky na aktivity dětí. Jejich podmínky a částky nejsou totožné s nově slíbenou tisícikorunou na sport.,Městské zastupitelstvo může změnit rozpočet a financovat městské služby. Konkrétní výdaj potřebuje schválení a opakované krytí v dalších letech.,"Náklady jsou 1 000 Kč krát počet oprávněných dětí plus správa. Program musí vymezit věk, pobyt, čerpání a vztah k dosavadní podpoře.",Václav Trojan připouští spolupráci s ODS i Piráty; jejich lídři Kamila Zlatušková a Adam Zemek ale spolupráci s ANO odmítají. Ochota jedné strany proto nestačí k dohodě o společném vedení města.,Příbuzný program snižuje organizační nejistotu; neprokazuje financování nové částky.,ANO ve vedení od roku 2022; později rozkol,"ANO vstoupilo do městské koalice v roce 2022 s odpovědností za investice, bydlení a územní plánování. Po rozkolu v roce 2025 zůstali představitelé ve vedení mimo ANO; část dnes kandiduje za Brnoklidem. Dnešnímu týmu ANO proto nelze připsat všechny osobní kroky původního klubu, ale ani vymazat dřívější účast značky na vládnutí.",,"Pravidla nároku, počet příjemců a rozpočtové krytí.",https://tymbrno.cz/program/,Sport,e4f8e48e77fd9841;e13ec4718d18eb51;1c29efb307c38b4f;332eb5b3cdf99fc3;00986cd445f58d56,Z9-18-115,2026-09-20
K05-01,5,Za Lužánky,Postavit stadion za Lužánkami a do té doby účelně modernizovat Srbskou.,podminene,Podmíněně proveditelné,"Stadion má širokou podmíněnou podporu zastupitelstva, k výstavbě ale stále chybí ověřené konečné smluvní a finanční řešení.",Pro podmíněné umožnění stadionu hlasovalo celkem 50 zastupitelů; podpora nebyla výlučná pro jedno uskupení.,Městské zastupitelstvo může změnit rozpočet a financovat městské služby. Konkrétní výdaj potřebuje schválení a opakované krytí v dalších letech.,Zářijový materiál předkládá tři varianty dalšího postupu a nové posudky. Samotná předloha není přijaté usnesení. Modernizace Srbské je další výdaj do dokončení.,"Podmíněnou podporu stadionu v září 2025 vyslovilo 50 zastupitelů; jde o podporu projektu s podmínkami, ne příslib koalice se Za Lužánky.",Podporu 50 zastupitelů z roku 2025 nelze připsat jen této kampani.,Dřívější náměstek na dnešní listině,"Tomáš Koláčný má doloženou dřívější funkci náměstka a práci na digitálních službách. V období 2022–2026 nebyli Piráti členy městské koalice. Jana Tichá Janulíková vedla turistické informační centrum TIC BRNO; rozhodovala o této organizaci, nikoli o rozpočtu a majetku celého města.",,"Ověřené konečné usnesení, smlouvy, vypořádání práv a harmonogram.",https://www.za-luzanky.cz/program,Sport,5097c0bac5a5fffc;e4f8e48e77fd9841;5b724c61b2098d0b;e13ec4718d18eb51;b84d55484f37f5a3,Z9-28-030;Z9-36-009,2026-09-20
K05-02,5,Za Lužánky,Otevřená správa a protikorupční kontrola města.,podlozeno,Podloženo činy,"Tomáš Koláčný navrhl pracovní skupinu pro kontrolu hospodaření brněnských vánočních trhů; prokazuje to jeho kontrolní iniciativu, ale ne dokončené prověření účtů ani otevřené fungování celé radnice.",Koláčný podpořil vlastní návrh pracovní skupiny k hospodaření vánočních trhů; u návrhu Vaňkové na externí posouzení nákladů se zdržel. Lídryně Janulíková v městském zastupitelstvu v tomto období nehlasovala.,"Zastupitel může přímo ovlivnit vlastní hlas. Změna městských pravidel, zadání auditu nebo zveřejňování dalších údajů potřebuje podporu rady nebo zastupitelstva podle toho, kdo o věci rozhoduje.",Programové heslo potřebuje pravidla zveřejňování a vymezení kontrol. Doložené hlasování rozlišuje pracovní skupinu a externí posouzení.,"Podmíněnou podporu stadionu v září 2025 vyslovilo 50 zastupitelů; jde o podporu projektu s podmínkami, ne příslib koalice se Za Lužánky.",Lídryně Janulíková v daném zastupitelstvu nehlasovala; hlas kandidáta není její osobní hlas.,Dřívější náměstek na dnešní listině,"Tomáš Koláčný má doloženou dřívější funkci náměstka a práci na digitálních službách. V období 2022–2026 nebyli Piráti členy městské koalice. Jana Tichá Janulíková vedla turistické informační centrum TIC BRNO; rozhodovala o této organizaci, nikoli o rozpočtu a majetku celého města.",,Doložené výsledky kontrol a standard zveřejňování by rozšířily oporu nad jeden návrh; přímé maření obdobné kontroly by ji oslabilo.,https://www.za-luzanky.cz/program,"Efektivní radnice, boj proti korupci a participace",e4f8e48e77fd9841;5b724c61b2098d0b;e13ec4718d18eb51;b84d55484f37f5a3,Z9-25-075;Z9-25-076,2026-09-20
K05-03,5,Za Lužánky,Prosazovat nejméně 2 000 obecních nájemních bytů v dostupném režimu do roku 2035 a nepodporovat další privatizaci městských bytů.,podminene,Podmíněně proveditelné,"Tomáš Koláčný hlasoval proti prodeji městských bytových domů, což odpovídá dnešnímu slibu; pro výstavbu 2 000 bytů do roku 2035 ale chybí ověřený seznam projektů a plán financování.",Tomáš Koláčný hlasoval proti prodeji dvou městských bytových domů Dornych 29 a 31 soukromému developerovi a později pro zrušení starých pravidel pro prodej městských bytů.,"Město může investovat do vlastního bydlení, rozhodovat o majetku a pravidlech; u městských bytů spravovaných městskými částmi musí zapojit i jejich vedení. Soukromou výstavbu nemůže jednoduše nařídit.",Rok 2035 nesmíme převést na slib dokončení do roku 2030. Program chce také vyjednávat dostupné bydlení s investory; jejich souhlas není automatický.,"Podmíněnou podporu stadionu v září 2025 vyslovilo 50 zastupitelů; jde o podporu projektu s podmínkami, ne příslib koalice se Za Lužánky.",Ochrana existujících bytů není doklad dokončení nových.,Dřívější náměstek na dnešní listině,"Tomáš Koláčný má doloženou dřívější funkci náměstka a práci na digitálních službách. V období 2022–2026 nebyli Piráti členy městské koalice. Jana Tichá Janulíková vedla turistické informační centrum TIC BRNO; rozhodovala o této organizaci, nikoli o rozpočtu a majetku celého města.",,"Milníky do roku 2030, pozemky, finanční model a konkrétní smlouvy.",https://www.za-luzanky.cz/program,Bydlení,92070caf8da6904e;e4f8e48e77fd9841;5b724c61b2098d0b;e13ec4718d18eb51;b84d55484f37f5a3,Z9-25-057;Z9-32-036,2026-09-20
K06-01,6,"ODS, TOP 09 a nezávislí",Rozvíjet družstevní a startovací bydlení a zrychlit opravy městských bytů.,podminene,Podmíněně proveditelné,"Bytový projekt Kamenný vrch II už má podepsanou smlouvu na stavbu 353 bytů; to dokládá konkrétní postup, ale neurčuje počet ani tempo všech slíbených oprav a nových bytů.",Schválení pravidel či výběru banky není důkaz splněného objemu výstavby.,"Město může investovat do vlastního bydlení, rozhodovat o majetku a pravidlech; u městských bytů spravovaných městskými částmi musí zapojit i jejich vedení. Soukromou výstavbu nemůže jednoduše nařídit.","Výběr banky pro Kamenný vrch je krok k realizaci. Zářijový návrh úvěru uvádí až 1,71 mld. Kč pro 280 družstevních bytů; to není počet již předaných bytů. V červenci 2026 byla oznámena podepsaná smlouva se zhotovitelem 353 bytů v projektu Kamenný vrch II; projekt má tedy i realizační krok, nikoliv jen politický příslib.","Zlatušková odmítá ANO, SPD a Motoristy. Dosavadní koalice proto není automatickým modelem dalšího období.",Kredit za přípravu patří i dalším podporujícím zastupitelům a zpracovatelům.,ODS a TOP 09 ve vedení města,ODS a TOP 09 vedly radnici v období 2022–2026. Z dnešních kandidátů sedí v radě Tomáš Aberl pro sport a IT. Nová lídryně Zlatušková osobně v zastupitelstvu nehlasovala; odpovědnost vládnoucích stran však výměnou lídra nezaniká. Za účast strany na vedení města odpovídá strana; jednotlivým kandidátům připisujeme jen jejich vlastní rozhodnutí.,,"Podepsané financování, průběh stavby a předané byty.",https://www.brnonejlepsiadresa.cz/cs/bydlet-v-sbrnes-bez-dedictvi-po-tete,bytová kapitola,54680ebc827751f8;67608a0aa50e0c9a;92070caf8da6904e;e4f8e48e77fd9841;e13ec4718d18eb51;00986cd445f58d56;8139e8a40182fbf7,Z9-17-060;Z9-36-071,2026-09-20
K06-02,6,"ODS, TOP 09 a nezávislí",Využít arénu a pokračovat v budování sportovišť včetně spolupráce na stadionu za Lužánkami.,podminene,Podmíněně proveditelné,"Nová víceúčelová aréna na brněnském výstavišti má schválené financování a staví se; slib ale zahrnuje i další sportoviště včetně stadionu za Lužánkami, jehož konečné smlouvy a financování nejsou ověřené.",Všech deset nynějších kandidátů s tehdejším mandátem schválilo financování arény. Zářijová zpráva města nabízí prohlídky stavby před dokončením; hotový provoz z ní nevyvozujeme.,Městské zastupitelstvo může změnit rozpočet a financovat městské služby. Konkrétní výdaj potřebuje schválení a opakované krytí v dalších letech.,U arény je třeba oddělit investiční dokončení od dlouhodobého provozu; Lužánky mají samostatné právní a finanční podmínky.,"Zlatušková odmítá ANO, SPD a Motoristy. Dosavadní koalice proto není automatickým modelem dalšího období.",Pavel Jankůj tehdy neměl mandát; nová lídryně také nehlasovala. Společný hlas neprokazuje autorství celé investice.,ODS a TOP 09 ve vedení města,ODS a TOP 09 vedly radnici v období 2022–2026. Z dnešních kandidátů sedí v radě Tomáš Aberl pro sport a IT. Nová lídryně Zlatušková osobně v zastupitelstvu nehlasovala; odpovědnost vládnoucích stran však výměnou lídra nezaniká. Za účast strany na vedení města odpovídá strana; jednotlivým kandidátům připisujeme jen jejich vlastní rozhodnutí.,,Provozní bilance arény a smluvní cesta dalších sportovišť.,https://www.brnonejlepsiadresa.cz/cs/ssports-neni-jen-stadion,sportovní kapitola,5097c0bac5a5fffc;d4b6a96177052aff;e4f8e48e77fd9841;e13ec4718d18eb51;00986cd445f58d56;8139e8a40182fbf7,Z9-08-094;Z9-28-030,2026-09-20
K06-03,6,"ODS, TOP 09 a nezávislí",Posunout nové hlavní nádraží a přestavbu železničního uzlu.,podminene,Podmíněně proveditelné,"Příprava městských pozemků a státního projektu nového hlavního nádraží už probíhá; nádraží a navazující železniční tratě ale připravuje Správa železnic, takže město samo další postup nezaručí.",Postoj nové lídryně Zlatuškové nelze odvodit z hlasů dosavadního klubu.,"Město připravuje své pozemky, území a návaznou MHD; nové hlavní nádraží a související tratě připravuje státní organizace Správa železnic. Samotná brněnská koalice nerozhodne o celé státní investici.",Správa železnic uvádí předpoklad stavebních prací 2028–2035. Slib posunout projekt nelze zaměnit za dokončit ho do konce období.,"Zlatušková odmítá ANO, SPD a Motoristy. Dosavadní koalice proto není automatickým modelem dalšího období.",Závislost na státu nečiní spolupráci města nesmyslnou; omezuje pouze záruku celého výsledku.,ODS a TOP 09 ve vedení města,ODS a TOP 09 vedly radnici v období 2022–2026. Z dnešních kandidátů sedí v radě Tomáš Aberl pro sport a IT. Nová lídryně Zlatušková osobně v zastupitelstvu nehlasovala; odpovědnost vládnoucích stran však výměnou lídra nezaniká. Za účast strany na vedení města odpovídá strana; jednotlivým kandidátům připisujeme jen jejich vlastní rozhodnutí.,,Dohodnuté městské milníky a financování návazné infrastruktury.,https://www.brnonejlepsiadresa.cz/cs/sbrnos-jako-krizovatka-ne-konecna,rozvojová kapitola,950f39946cb6bdf8;950f39946cb6bdf8;e13ec4718d18eb51;00986cd445f58d56;8139e8a40182fbf7,Z9-18-088,2026-09-20
K06-04,6,"ODS, TOP 09 a nezávislí",Prosadit dostupnost stromu a stínu do pěti minut od domu.,bez_opory,Jen kydy!,"Pětiminutová dostupnost stínu je měřitelný slib, ale chybí výchozí mapa a financovaný plán, který by jeho splnění doložil.",Měřitelný prostorový závazek; dostupné hlasování bez mapového vyhodnocení neprokazuje splnění.,"Město může upravovat své veřejné prostory a financovat údržbu. Zásahy do ulic závisí také na správě sítí, vlastnictví pozemků a povolování.",Pět minut chůze musí mít jednotný výklad a dostupný cíl. Strom a skutečný letní stín nejsou automaticky totéž.,"Zlatušková odmítá ANO, SPD a Motoristy. Dosavadní koalice proto není automatickým modelem dalšího období.","Neexistence mapy v našem rozboru není důkaz, že taková mapa nikde neexistuje.",ODS a TOP 09 ve vedení města,ODS a TOP 09 vedly radnici v období 2022–2026. Z dnešních kandidátů sedí v radě Tomáš Aberl pro sport a IT. Nová lídryně Zlatušková osobně v zastupitelstvu nehlasovala; odpovědnost vládnoucích stran však výměnou lídra nezaniká. Za účast strany na vedení města odpovídá strana; jednotlivým kandidátům připisujeme jen jejich vlastní rozhodnutí.,,"Mapa dostupnosti, seznam deficitních míst a financování výsadby i péče.",https://www.brnonejlepsiadresa.cz/cs/strom-neni-ideologie,kapitola o zeleni,92070caf8da6904e;e13ec4718d18eb51;00986cd445f58d56;8139e8a40182fbf7,,2026-09-20
K06-05,6,"ODS, TOP 09 a nezávislí","Dokončit Janáčkovo kulturní centrum, nový koncertní sál v Brně.",podlozeno,Podloženo činy,Nový koncertní sál Janáčkova kulturního centra se prokazatelně staví a plán počítá s dokončením v roce 2028 a otevřením v roce 2029; pokračování projektu ale není zárukou termínu ani osobním výsledkem nové lídryně.,"Městský projektový přehled uvádí dokončení 2028 a otevření 2029. Zpráva z března 2026 dokládá konkrétní stavební práce, nejen hlas o rozpočtu.",Městské zastupitelstvo může změnit rozpočet a financovat městské služby. Konkrétní výdaj potřebuje schválení a opakované krytí v dalších letech.,Podzemní části a přeložky již mají doložený postup. U dokončení zbývá stavební a dodavatelské riziko; termín v projektovém přehledu není záruka.,"Zlatušková odmítá ANO, SPD a Motoristy. Dosavadní koalice proto není automatickým modelem dalšího období.","Rozpočtová návaznost existuje, konkrétní výsledek se musí ověřit na stavbě.",ODS a TOP 09 ve vedení města,ODS a TOP 09 vedly radnici v období 2022–2026. Z dnešních kandidátů sedí v radě Tomáš Aberl pro sport a IT. Nová lídryně Zlatušková osobně v zastupitelstvu nehlasovala; odpovědnost vládnoucích stran však výměnou lídra nezaniká. Za účast strany na vedení města odpovídá strana; jednotlivým kandidátům připisujeme jen jejich vlastní rozhodnutí.,,Zastavení stavby či ztráta financování by oporu oslabily; dokončené milníky a ověřené krytí zbývajících prací by ji posílily.,https://www.brnonejlepsiadresa.cz/cs/kultura-neni-tresnicka,kulturní kapitola,1f563a1d4b813e15;822e974afd12198b;e4f8e48e77fd9841;e13ec4718d18eb51;00986cd445f58d56;8139e8a40182fbf7,Z9-31-022,2026-09-20
K07-01,7,Restart pro Brno,Podporovat městské nájemní bydlení a opravy prázdných bytů.,bez_opory,Jen kydy!,"Podpora městských bytů zatím nemá v podkladech počet, termín ani projektový plán, podle kterého by šel výsledek ověřit.",Na listině nejsou držitelé městského mandátu z tohoto období; chybějící hlasy nejsou nečinnost.,"Město může investovat do vlastního bydlení, rozhodovat o majetku a pravidlech; u městských bytů spravovaných městskými částmi musí zapojit i jejich vedení. Soukromou výstavbu nemůže jednoduše nařídit.","Rozsah oprav, financování a připravenost pozemků nejsou v tomto závazku vyčísleny. Dřívější mandát lídra není důkaz realizace dnešního slibu.",Absence mandátu v posledním období neznamená začátečníka: Martin Říha působil v dřívějším celoměstském zastupitelstvu.,Chybějící osobní hlasy z posledního období nejsou důkaz nečinnosti.,Doložená starší opoziční praxe,"Martin Říha je v podkladu z roku 2016 označen jako opoziční zastupitel. Mandát dává prostor k návrhům a hlasování, sám však neprokazuje výkonnou moc ani většinu. Na dnešní listině není držitel mandátu z období 2022–2026.",,"Počet oprav a novostaveb, termíny a rozpočet.",https://www.restartprobrno.cz/volebni-program-bydleni/,kapitola Bydlení,92070caf8da6904e;e4f8e48e77fd9841;56cbbde5c86fe0d9,,2026-09-20
K07-02,7,Restart pro Brno,"Rozšiřovat azylové domy, noclehárny, krizové ubytování a denní centra.",bez_opory,Jen kydy!,"Rozšíření sociálních služeb nemá doložené kapacity, konkrétní projekty ani trvalé provozní financování.",Přímý osobní návrh nebo realizovaný výsledek odpovídající tomuto slibu nebyl v ověřeném výběru doložen; nejde o důkaz nečinnosti.,Městské zastupitelstvo může změnit rozpočet a financovat městské služby. Konkrétní výdaj potřebuje schválení a opakované krytí v dalších letech.,"Vedle nemovitosti je třeba provozovatel, pracovníci a návaznost na síť sociálních služeb; investiční dotace nehradí automaticky budoucí provoz.",Absence mandátu v posledním období neznamená začátečníka: Martin Říha působil v dřívějším celoměstském zastupitelstvu.,"Slib je v oblasti, kterou město může ovlivnit; není doložen jako nemožný.",Doložená starší opoziční praxe,"Martin Říha je v podkladu z roku 2016 označen jako opoziční zastupitel. Mandát dává prostor k návrhům a hlasování, sám však neprokazuje výkonnou moc ani většinu. Na dnešní listině není držitel mandátu z období 2022–2026.",,"Kapacitní plán, provozovatel a víceleté financování.",https://www.restartprobrno.cz/volebni-program-socialni-oblast/,bod 1 Přímá pomoc lidem v nouzi,e4f8e48e77fd9841;56cbbde5c86fe0d9,,2026-09-20
K07-03,7,Restart pro Brno,"Rozvíjet MHD, návaznost spojů a koordinaci dopravních opatření.",bez_opory,Jen kydy!,"Starší Říhovo stanovisko dokládá zájem o levnější MHD, ne provedené změny návaznosti spojů ani plán dnešního slibu.",Přímý osobní návrh nebo realizovaný výsledek odpovídající tomuto slibu nebyl v ověřeném výběru doložen; nejde o důkaz nečinnosti.,"Město ovlivňuje vlastní dopravu a její financování. Ceny a pravidla jízdného společného pro Brno a kraj, regionální spoje a státní stavby musí řešit i s krajem, dopravci nebo státem.",Koordinace městské a regionální dopravy potřebuje dohodu objednatelů; bez seznamu změn nelze určit náklady ani přínos.,Absence mandátu v posledním období neznamená začátečníka: Martin Říha působil v dřívějším celoměstském zastupitelstvu.,"Článek politika je důkaz postoje, nikoliv neutrální vyhodnocení dopravní politiky.",Doložená starší opoziční praxe,"Martin Říha je v podkladu z roku 2016 označen jako opoziční zastupitel. Mandát dává prostor k návrhům a hlasování, sám však neprokazuje výkonnou moc ani většinu. Na dnešní listině není držitel mandátu z období 2022–2026.",,"Konkrétní linky, intervaly, dohody a rozpočet.",https://www.restartprobrno.cz/volebni-program-doprava/,kapitola Doprava,56cbbde5c86fe0d9;92070caf8da6904e;0f370d838d2a82a6;56cbbde5c86fe0d9,,2026-09-20
