hlasovani_id,zasedani,cislo,datum,predmet,vysledek,zdroj_id,url,pritomno,ano,ne,zdrzel_se,nehlasoval,kontrola,omezeni,platnost_dle_zapisu,pouzitelne_pro_statistiky,tema,vyznam_ano,mez_interpretace,zapis_zdroj_id,zapis_pdf_strana
Z9-20-040,Z9/20,40,2024-10-15,36. Aktualizace očekávaného čerpání rozpočtu kapitálových výdajů Odboru územního plánování a rozvoje Magistrátu města Brna v roce 2024 – návrh rozpočtového opatření - návrh pí Flamikové,Nepřijato,d6efb7962e54bb80,https://apl.brno.cz/protokoly-zmb/zmb-z9-20/20241015-40-36562.html,53,11,1,12,29,ok,,není označeno jako neplatné,ano,Otevřenost,Požadovat čtvrtletní informace o protipovodňových opatřeních,Není to hlas proti samotným protipovodňovým stavbám.,21185e2ff631d16f,30
Z9-20-042,Z9/20,42,2024-10-15,"37. Zřízení Fondu Dáme na vás, aktualizace očekávaného čerpání rozpočtu kapitálových a běžných výdajů na projekty participativního rozpočtu v roce 2024 – návrh rozpočtového opatření",Přijato,f0cee87d68a4e999,https://apl.brno.cz/protokoly-zmb/zmb-z9-20/20241015-42-36619.html,52,44,0,6,2,ok,,není označeno jako neplatné,ano,Participace,Zřídit Fond Dáme na vás a upravit rozpočet participativních projektů,Není to hlas o zvýšení budoucího ročního objemu na 50 milionů.,21185e2ff631d16f,30
Z9-22-011,Z9/22,11,2024-12-10,7. Územní plán města Brna – návrh na vydání formou opatření obecné povahy,Přijato,1fb4559fed5b5568,https://apl.brno.cz/protokoly-zmb/zmb-z9-22/20241210-11-34554.html,55,54,0,1,0,ok,,není označeno jako neplatné,ano,Územní plán,Vydat nový územní plán,Plán sám neznamená dokončené byty ani infrastrukturu.,0a5e067d7f1d3081,19
Z9-22-016,Z9/22,16,2024-12-10,6. Návrh rozpočtu statutárního města Brna na rok 2025,Přijato,b2999502ba6eeafc,https://apl.brno.cz/protokoly-zmb/zmb-z9-22/20241210-16-35980.html,55,41,2,11,1,ok,,není označeno jako neplatné,ano,Finance,Schválit rozpočet 2025,Je nutné odlišit předchozí pozměňovací návrhy.,0a5e067d7f1d3081,23
Z9-22-034,Z9/22,34,2024-12-10,"12. Návrh obecně závazné vyhlášky, kterou se mění obecně závazná vyhláška statutárního města Brna č. 24/2023, o poplatku za obecní systém odpadového hospodářství",Přijato,b0503cb33c1f2db4,https://apl.brno.cz/protokoly-zmb/zmb-z9-22/20241210-34-37245.html,54,43,4,7,0,ok,,není označeno jako neplatné,ano,Odpady,Vydat změnu vyhlášky o poplatku za komunální odpad,Předmět a účinek vyhlášky jsou v příloze zápisu; nejde o rušení poplatku.,0a5e067d7f1d3081,30
Z9-23-052,Z9/23,52,2025-01-28,49. Návrh zpeněžení-prodeje pozemku p. č. 685 jehož součástí je bytový dům Kamenná 2 vše v k. ú. Štýřice ve veřejné elektronické dražbě,Přijato,aa780375873f8d07,https://apl.brno.cz/protokoly-zmb/zmb-z9-23/20250128-52-37582.html,50,36,5,5,4,ok,,není označeno jako neplatné,ano,Bydlení a majetek,Schválit prodej domu Kamenná 2 v elektronické dražbě,Schválení způsobu prodeje není doklad dokončeného převodu.,4658264f1b9b47c0,31
Z9-25-057,Z9/25,57,2025-03-25,"58. Návrh prodeje pozemků p. č. 718, p. č. 720 jehož součástí je bytový dům Dornych 31 a p. č. 721 jehož součástí je bytový dům Dornych 29 vše v k. ú. Trnitá",Přijato,51e4b76cc1f5ba4c,https://apl.brno.cz/protokoly-zmb/zmb-z9-25/20250325-57-36378.html,51,38,10,2,1,ok,,není označeno jako neplatné,ano,Bydlení a majetek,Schválit prodej pozemků s domy Dornych 29 a 31 společnosti CTP Vlněna,Konkrétní transakce; budoucí zákaz prodejů není automaticky tvrzením o minulém chování.,e988b29ad183637c,27
Z9-25-075,Z9/25,75,2025-03-25,86. Návrh na provedení hloubkového auditu hospodaření příspěvkové organizace TIC Brno při pořádání vánočních trhů - hlasování o návrhu p. Koláčného,Nepřijato,fc94fc9a8c92cc25,https://apl.brno.cz/protokoly-zmb/zmb-z9-25/20250325-75-41035.html,49,7,2,18,22,ok,,není označeno jako neplatné,ano,Audit TIC,Zřídit pracovní skupinu ke zefektivnění hospodaření vánočních trhů podle návrhu Koláčného,"Pracovní skupina TIC, Brna-střed, magistrátu a technických sítí není totožná s externím posouzením nákladů.",e988b29ad183637c,50
Z9-25-076,Z9/25,76,2025-03-25,86. Návrh na provedení hloubkového auditu hospodaření příspěvkové organizace TIC Brno při pořádání vánočních trhů - hlasování o návrhu pí Vaňkové,Přijato,97148bdb758b26f3,https://apl.brno.cz/protokoly-zmb/zmb-z9-25/20250325-76-41086.html,49,44,1,3,1,ok,,není označeno jako neplatné,ano,Audit TIC,Přijmout návrh Markéty Vaňkové k externímu posouzení nákladů TIC,"Nejde o schválení závěrečné auditorské zprávy, která přišla později.",e988b29ad183637c,50
Z9-26-063,Z9/26,63,2025-04-29,"57. Projekt „Družstevní bydlení pro mladé“ lokalita Kamenný vrch II – upřesnění stávajících kritérií u přihlášených žadatelů, stanovení dalšího postupu při realizaci projektu, vyhlášení nové výzvy k přihlášení do projektu",Přijato,3915caefca0d3479,https://apl.brno.cz/protokoly-zmb/zmb-z9-26/20250429-63-39323.html,49,48,0,0,1,ok,,není označeno jako neplatné,ano,Bydlení,Upravit postup a kritéria projektu Kamenný vrch II,Přípravné rozhodnutí; nikoliv předání bytů.,e5fe37ddafdb66a3,35
Z9-28-030,Z9/28,30,2025-09-09,178. Umožnění stavby nového fotbalového stadionu v lokalitě za Lužánkami,Přijato,4f2c8c632977b12b,https://apl.brno.cz/protokoly-zmb/zmb-z9-28/20250909-30-45337.html,50,50,0,0,0,ok,,není označeno jako neplatné,ano,Stadion,Podmíněně umožnit stadion za Lužánkami a požadovat průběžné zprávy,"Podmínkou je technická a právní možnost, nejde o konkrétní prodej nebo koncesi.",7ac680d41d8d0dd0,25
Z9-31-011,Z9/31,11,2025-12-10,9. Návrh obecně závazné vyhlášky statutárního města Brna o regulaci zacházení s pyrotechnickými výrobky,Přijato,205eb0007283cacd,https://apl.brno.cz/protokoly-zmb/zmb-z9-31/20251210-11-31014.html,51,46,0,0,5,ok,,není označeno jako neplatné,ano,Pyrotechnika,Vydat vyhlášku regulující pyrotechnické výrobky,"Rozsah regulace určuje vyhláška, nikoliv obecné heslo zákaz ohňostrojů.",be8083cfb4f00a99,10
Z9-31-015,Z9/31,15,2025-12-10,13. Návrh Vlastnické politiky Koncernu statutárního města Brna,Přijato,bf2cb7874cb864a9,https://apl.brno.cz/protokoly-zmb/zmb-z9-31/20251210-15-31141.html,51,47,1,1,2,ok,,není označeno jako neplatné,ano,Městské firmy,Souhlasit s vlastnickou politikou městského koncernu,Doklad přijatého rámce; ne úplný audit správy firem.,be8083cfb4f00a99,11
Z9-31-022,Z9/31,22,2025-12-10,20. Návrh rozpočtu statutárního města Brna na rok 2026,Přijato,a04e20e4eb5af420,https://apl.brno.cz/protokoly-zmb/zmb-z9-31/20251210-22-33889.html,52,40,0,12,0,ok,,není označeno jako neplatné,ano,Finance,Schválit rozpočet 2026,"Roční plán, nikoliv skutečné výdaje roku 2026.",be8083cfb4f00a99,19
Z9-32-036,Z9/32,36,2026-01-20,"37. Návrh na zrušení Postupu při prodeji bytového fondu, dispozice s bytovým fondem v majetku statutárního města Brna",Přijato,872e26913ac813b8,https://apl.brno.cz/protokoly-zmb/zmb-z9-32/20260120-36-34926.html,54,51,0,2,1,ok,,není označeno jako neplatné,ano,Bydlení a majetek,Zrušit privatizační postup a seznam domů připravovaných k prodeji,Není to univerzální zákaz jakéhokoli budoucího převodu městské nemovitosti.,f2d978b02f87f5fa,18
Z9-34-004,Z9/34,4,2026-04-14,"1. Technický bod (zapisovatelé, právní asistence, ověřovatelé zápisu, schválení programu zasedání ZMB) - program - hlasování o návrhu p. Kmenta na zařazení bodu I",Nepřijato,4309feb0d4cef6e1,https://apl.brno.cz/protokoly-zmb/zmb-z9-34/20260414-4-34348.html,50,9,4,4,33,ok,,není označeno jako neplatné,ano,Program schůze,Zařadit bod nesouhlasu se Sudetoněmeckým sněmem,Procedurální hlasování: nelze je vydávat za přijetí nebo odmítnutí celého věcného usnesení.,75ba75c42ae44f62,3
Z9-35-010,Z9/35,10,2026-05-19,"9. Návrh závěrečného účtu statutárního města Brna za rok 2025, návrh účetní závěrky statutárního města Brna za rok 2025",Přijato,9a491c6387510a0d,https://apl.brno.cz/protokoly-zmb/zmb-z9-35/20260519-10-33804.html,50,44,0,6,0,ok,,není označeno jako neplatné,ano,Finance,Schválit celoroční hospodaření 2025 s výhradou,Výhrada k pozdnímu zařazování majetku; nezaměňovat s jiným výrokem k účetní závěrce.,0e845920a9ca9f72,10
Z9-36-009,Z9/36,9,2026-06-23,"94. Koncesní řízení ""Fotbalový stadion v Brně“, návrh výběru koncesionáře a návrh prodeje pozemků p. č. 809/1, p. č. 1083 a nového, dosud nezapsaného pozemku p. č. 1077/34 vše v k. ú. Ponava s budoucím závazkem",Přijato,7d82ad28badf0f86,https://apl.brno.cz/protokoly-zmb/zmb-z9-36/20260623-9-54815.html,46,46,0,0,0,ok,,není označeno jako neplatné,ano,Stadion,Požadovat doplnění podkladů před dalším rozhodnutím o koncesi a prodeji,Nejde o konečný prodej stadionu ani hlas proti stadionu.,597f2a8effabe498,49
Z9-36-071,Z9/36,71,2026-06-23,"88. Návrh výběru banky pro financování realizace projektu ""Družstevní bydlení pro mladé"" lokalita Kamenný vrch II, včetně úvěrových podmínek",Přijato,59fcdbaec883f68a,https://apl.brno.cz/protokoly-zmb/zmb-z9-36/20260623-71-58488.html,44,41,0,0,3,ok,,není označeno jako neplatné,ano,Bydlení,Souhlasit s výběrem ČSOB a dojednáním finálních úvěrových podmínek Kamenného vrchu II,Červnové rozhodnutí není zářijové schválení finálního úvěru.,597f2a8effabe498,85
Z9-36-073,Z9/36,73,2026-06-23,"90. Projekt ""Dostupné družstevní bydlení – stávající domy, Mostecká 16"" – založení bytového družstva, záměr vnesení pozemku p. č. 573, k. ú. Husovice do nově vznikajícího bytového družstva, stanovení dalšího postupu a kritérií u žadatelů",Přijato,b5f85df141956675,https://apl.brno.cz/protokoly-zmb/zmb-z9-36/20260623-73-58687.html,44,38,4,1,1,ok,,není označeno jako neplatné,ano,Bydlení,Založit družstvo Mostecká 16 a schválit postup a kritéria projektu,Spor se týkal převodu stávajícího městského majetku; není to hlas o všech družstevních novostavbách.,597f2a8effabe498,86
