tvrzeni_id,cislo_listiny,tema,tvrzeni_parafraze,zdroj_id,lokator,hlasovani_ids,vztah_k_hlasovani,poznamka,zdroj_url,overeno_ke_dni,typ_zdroje,primy_doklad_minuleho_hlasu
K03-05,3,Energetika,Před závazným rozhodnutím nezávisle veřejně posoudit energetické investice nad miliardu.,fbddaf41882f1e43,závazky kapitoly 05,Z9-11-007,"Související procedurální hlas, nikoliv splnění celého závazku",,https://www.zelenebrno.cz/program/energie-odpady-a-ciste-mesto/,2026-09-19,vlastní sdělení kandidujícího uskupení,ano
K04-01,4,Lanovka,Rozvíjet tramvaje i lanovku.,08614cda1a445d8c,Doprava,Z9-19-005;Z9-19-006,Programový postoj; vybrané hlasy jsou jen procedurální,Tomáš Hejl a Miroslav Kubásek při hlasu o veřejném projednání nehlasovali. Petrovi Bauerovi už mandát skončil. Přijetí petice na vědomí není hlas proti stavbě.,https://tymbrno.cz/program/,2026-09-19,vlastní sdělení kandidujícího uskupení,ano
K04-02,4,Bydlení a majetek,Zastavit zbytečné privatizace městských bytů.,08614cda1a445d8c,Bydlení,Z9-25-057;Z9-32-036,Podmíněně srovnatelné; program používá hodnotící podmínku,"Hejl a Kubásek podpořili prodej Dornychu; Kubásek později zrušení starého privatizačního postupu. Program neříká, které prodeje považuje za zbytečné.",https://tymbrno.cz/program/,2026-09-19,vlastní sdělení kandidujícího uskupení,ano
K04-03,4,Děti a sport,Zavést školním dětem roční příspěvek 1 000 Kč na sport v Brně.,08614cda1a445d8c,Sport,Z9-18-115,"Nový závazek, existuje příbuzný dotační nástroj",Nesměšovat s jinými podmínkami a částkami rodičovských voucherů.,https://tymbrno.cz/program/,2026-09-19,vlastní sdělení kandidujícího uskupení,ano
K05-01,5,Stadion,Postavit stadion za Lužánkami a do té doby účelně modernizovat Srbskou.,bf1d45a61931b218,Sport,Z9-28-030;Z9-36-009,Dílčí návaznost; ověřit konkrétní proceduru,Pro podmíněné umožnění stadionu hlasovalo celkem 50 zastupitelů; podpora nebyla výlučná pro jedno uskupení.,https://www.za-luzanky.cz/program,2026-09-19,vlastní sdělení kandidujícího uskupení,ano
K05-02,5,Otevřenost,Otevřená správa a protikorupční kontrola města.,bf1d45a61931b218,"Efektivní radnice, boj proti korupci a participace",Z9-25-075;Z9-25-076,Doložena konkrétní kontrolní iniciativa kandidáta,Koláčný podpořil vlastní návrh pracovní skupiny k hospodaření vánočních trhů; u návrhu Vaňkové na externí posouzení nákladů se zdržel. Lídryně Janulíková v městském zastupitelstvu v tomto období nehlasovala.,https://www.za-luzanky.cz/program,2026-09-19,vlastní sdělení kandidujícího uskupení,ano
K06-01,6,Bydlení,Rozvíjet družstevní a startovací bydlení a zrychlit opravy městských bytů.,5c5302858902999b,bytová kapitola,Z9-17-060;Z9-36-071,Dílčí návaznost na schválené kroky,Schválení pravidel či výběru banky není důkaz splněného objemu výstavby.,https://www.brnonejlepsiadresa.cz/cs/bydlet-v-sbrnes-bez-dedictvi-po-tete,2026-09-19,vlastní sdělení kandidujícího uskupení,ano
K06-02,6,Aréna a sport,Využít arénu a pokračovat v budování sportovišť včetně spolupráce na stadionu za Lužánkami.,e86b900dd8d395d8,sportovní kapitola,Z9-08-094;Z9-28-030,Soulad dostupných hlasů u financování arény,Deset nynějších kandidátů mělo při hlasování o financování arény mandát a všech deset hlasovalo pro. Pavel Jankůj tehdy mandát neměl.,https://www.brnonejlepsiadresa.cz/cs/ssports-neni-jen-stadion,2026-09-19,vlastní sdělení kandidujícího uskupení,ano
K06-03,6,Nádraží,Posunout nové hlavní nádraží a přestavbu železničního uzlu.,70d6a4c7a2415dca,rozvojová kapitola,Z9-18-088,Související konkrétní majetkové rozhodnutí,Postoj nové lídryně Zlatuškové nelze odvodit z hlasů dosavadního klubu.,https://www.brnonejlepsiadresa.cz/cs/sbrnos-jako-krizovatka-ne-konecna,2026-09-19,vlastní sdělení kandidujícího uskupení,ano
K06-04,6,Zeleň,Prosadit dostupnost stromu a stínu do pěti minut od domu.,f1d03ce2b043c8d4,kapitola o zeleni,,Nový závazek; samotné minulé hlasování jej neověří,Měřitelný prostorový závazek; dostupné hlasování bez mapového vyhodnocení neprokazuje splnění.,https://www.brnonejlepsiadresa.cz/cs/strom-neni-ideologie,2026-09-19,vlastní sdělení kandidujícího uskupení,ne
K06-05,6,Kultura,Dokončit Janáčkovo kulturní centrum.,1347ec23e98d4593,kulturní kapitola,Z9-31-022,Pouze souhrnná rozpočtová souvislost,Rozpočet 2026 obsahuje mnoho akcí a není hlasem o dokončení centra.,https://www.brnonejlepsiadresa.cz/cs/kultura-neni-tresnicka,2026-09-19,vlastní sdělení kandidujícího uskupení,ano
K07-01,7,Bydlení,Podporovat městské nájemní bydlení a opravy prázdných bytů.,2a6a7030b56079c9,kapitola Bydlení,,Nový závazek; samotné minulé hlasování jej neověří,Na listině nejsou držitelé městského mandátu z tohoto období; chybějící hlasy nejsou nečinnost.,https://www.restartprobrno.cz/volebni-program-bydleni/,2026-09-19,vlastní sdělení kandidujícího uskupení,ne
K07-02,7,Sociální služby,"Rozšiřovat azylové domy, noclehárny, krizové ubytování a denní centra.",0fad0c91e46486cb,bod 1 Přímá pomoc lidem v nouzi,,Nový závazek; samotné minulé hlasování jej neověří,,https://www.restartprobrno.cz/volebni-program-socialni-oblast/,2026-09-19,vlastní sdělení kandidujícího uskupení,ne
K07-03,7,Doprava,"Rozvíjet MHD, návaznost spojů a koordinaci dopravních opatření.",911b21fa5dc6974d,kapitola Doprava,,Nový závazek; samotné minulé hlasování jej neověří,,https://www.restartprobrno.cz/volebni-program-doprava/,2026-09-19,vlastní sdělení kandidujícího uskupení,ne
K08-01,8,Bydlení,Připravit nejméně další tisíc bytů; kampaň současně deklaruje přípravu první tisícovky.,bc367294a3a2b4cb,Domov klidem,Z9-26-063;Z9-36-071,Dílčí doložené kroky; souhrnný počet dosud nezávisle neověřen,"Doklady ke Kamennému vrchu potvrzují jednotlivý projekt, nikoliv samy součet tisíce bytů.",https://www.brnoklidem.cz/program/,2026-09-19,vlastní sdělení kandidujícího uskupení,ano
K08-02,8,Bydlení a majetek,Městské pozemky a budovy využívat k dostupnému bydlení místo rozprodeje.,bc367294a3a2b4cb,Domov klidem,Z9-23-052;Z9-25-057;Z9-32-036,Napětí vůči části minulých hlasů; zároveň přijatý dílčí krok,"Sedm nynějších kandidátů podpořilo prodej Dornychu 29/31, Levíček se zdržel, Benešová ještě neměla mandát. Všech devět podpořilo lednové zrušení starého privatizačního postupu.",https://www.brnoklidem.cz/program/,2026-09-19,vlastní sdělení kandidujícího uskupení,ano
K08-03,8,Bydlení,Rozvíjet elektronické žádosti o obecní a družstevní byty.,bc367294a3a2b4cb,Domov klidem,Z9-17-060,Pouze příbuzná změna pravidel,"Online formulář je doložen již od ledna 2026, další zlepšení je nový závazek; samotný hlas z roku 2024 nespustil celý digitální systém.",https://www.brnoklidem.cz/program/,2026-09-19,vlastní sdělení kandidujícího uskupení,ano
K09-01,9,Doprava a správa,"Prosazovat funkční dopravu, bezpečnost, odpovědné hospodaření a podmínky pro podnikání.",35b44e8f185e7ebb,společné komunální priority,,Nový závazek; samotné minulé hlasování jej neověří,"Celostátní rámec, ne detailní program pro Brno. Žádný kandidát listiny nemá městský mandát 2022–2026.",https://motoristesobe.cz/komunalni-volby,2026-09-19,vlastní sdělení kandidujícího uskupení,ne
K10-01,10,Pyrotechnika,Podporovat omezení zábavní pyrotechniky a ohňostrojů.,d719a868b3bfdf9b,celostátní komunální prohlášení,Z9-31-011,Tematický kontext bez osobního hlasovacího záznamu kandidátek,Rozhodnutí dosavadních zastupitelů se nesmí připsat novým kandidátkám DSZ.,https://dsz321.webnode.cz/news/prohlaseni-dsz-za-prava-zvirat-k-volbam-do-zastupitelstev-obci-se-seznamem-mist-na-kterych-podala-kandidatky/,2026-09-19,vlastní sdělení kandidujícího uskupení,ne
K10-02,10,Zvířata,"Podporovat útulky, kastrační programy a pomoc opuštěným a týraným zvířatům.",d719a868b3bfdf9b,celostátní komunální prohlášení,,Nový závazek; samotné minulé hlasování jej neověří,,https://dsz321.webnode.cz/news/prohlaseni-dsz-za-prava-zvirat-k-volbam-do-zastupitelstev-obci-se-seznamem-mist-na-kterych-podala-kandidatky/,2026-09-19,vlastní sdělení kandidujícího uskupení,ne
K11-01,11,Nádraží,"Prosadit třetí referendum o poloze hlavního nádraží, s cílem hlasování v roce 2028.",4c041d7221ac93e4,zpráva 3. 9. 2026,Z9-18-088,"Mediálně doložený požadavek, bez hlasovací historie nynější listiny",Starý program B3! není automaticky aktuálním programem 2026.,https://nasregion.cz/brnensky-spolek-chce-treti-referendum-o-poloze-nadrazi-zatim-ma-jen-zlomek-potrebnych-podpisu-445830/,2026-09-19,zpravodajství,ne
K12-01,12,Teplo,Snížit cenu tepla pro obyvatele s trvalým pobytem o 15 %.,b31cfa08ef916f6b,PDF – Energie,,Nový závazek; samotné minulé hlasování jej neověří,Závazek kampaně; není doložen realizovaný tarif ani nezávisle ověřené finanční krytí.,https://prisaha.cz/wp-content/uploads/2026/09/Volebni_program_Prisaha_Brno_TEMATA_CELISTVA-1.pdf,2026-09-19,vlastní sdělení kandidujícího uskupení,ne
K12-02,12,SAKO,"Dokončit třetí kotel; kampaň tvrdí, že opakování soutěže způsobilo značnou škodu.",b31cfa08ef916f6b,PDF – Preambule a Energie,Z9-11-007,Změna projektu doložena; výše tvrzené škody není tímto ověřena,Tajnou volbu neprováděli kandidáti letošní Přísahy. Petr Vokřál nebyl zastupitelem ve sledovaném období.,https://prisaha.cz/wp-content/uploads/2026/09/Volebni_program_Prisaha_Brno_TEMATA_CELISTVA-1.pdf,2026-09-19,vlastní sdělení kandidujícího uskupení,ne
K12-03,12,Bydlení,Směřovat nájemné v městských bytech do pásma 20–35 % příjmů domácnosti.,b31cfa08ef916f6b,PDF – Bytová politika,,Nový závazek; samotné minulé hlasování jej neověří,,https://prisaha.cz/wp-content/uploads/2026/09/Volebni_program_Prisaha_Brno_TEMATA_CELISTVA-1.pdf,2026-09-19,vlastní sdělení kandidujícího uskupení,ne
K12-04,12,Zoo,Investovat do rozvoje zoo alespoň 150 milionů Kč ročně.,b31cfa08ef916f6b,PDF – ZOO,,Nový závazek; samotné minulé hlasování jej neověří,,https://prisaha.cz/wp-content/uploads/2026/09/Volebni_program_Prisaha_Brno_TEMATA_CELISTVA-1.pdf,2026-09-19,vlastní sdělení kandidujícího uskupení,ne
K13-01,13,Parkování,Zrušit poplatek za první rezidentní parkovací oprávnění.,75e78575bcb4f7b3,JS obsah stránky /parkovani,,Nový závazek; samotné minulé hlasování jej neověří,Text upřesňuje první rezidentní oprávnění. Nelze jej rozšířit na parkování zdarma pro každého všude.,https://brnonaplno.cz/assets/index-BE4L-4Vz.js,2026-09-19,vlastní sdělení kandidujícího uskupení,ne
K13-02,13,Odpady,"Zrušit samostatný poplatek za komunální odpad; krýt službu rozpočtem, úsporami a městskými firmami.",75e78575bcb4f7b3,JS obsah /odpady,Z9-22-034,Nový závazek bez osobní historie nynějších kandidátů,Nikdo ze současné listiny neměl v období 2022–2026 městský mandát. Hlasování tehdejší společné listiny SPD a Trikolory se sem nepřevádí.,https://brnonaplno.cz/assets/index-BE4L-4Vz.js,2026-09-19,vlastní sdělení kandidujícího uskupení,ne
K13-03,13,Finance,"Veřejně prověřovat cenu, provoz, alternativy a přínos velkých investic.",75e78575bcb4f7b3,JS obsah /finance,Z9-08-094;Z9-35-010,"Pouze tematický kontext, bez osobní historie nynější listiny",,https://brnonaplno.cz/assets/index-BE4L-4Vz.js,2026-09-19,vlastní sdělení kandidujícího uskupení,ne
K14-01,14,Bydlení,Stavět 500 nových městských bytů ročně a neprodávat městské byty ani strategické pozemky.,46b0b1680eaf247b,program PDF,Z9-25-057;Z9-32-036,Nový závazek bez osobní hlasovací historie nynější listiny,,https://www.nove-brno.cz/_files/ugd/fd2507_5c7431fbbc7840eea9ba1c5e9938068b.pdf,2026-09-19,vlastní sdělení kandidujícího uskupení,ne
K14-02,14,Nádraží a doprava,"Prosazovat nové nádraží, podzemní dráhu, okruh a rezidentní parkovací domy.",46b0b1680eaf247b,program PDF,Z9-18-088,"Tematická návaznost, nikoliv osobní hlas kandidátů",,https://www.nove-brno.cz/_files/ugd/fd2507_5c7431fbbc7840eea9ba1c5e9938068b.pdf,2026-09-19,vlastní sdělení kandidujícího uskupení,ne
K15-01,15,Lanovka,Odmítnout lanovku do kampusu.,efe3592adc38d279,Doprava,Z9-19-005;Z9-19-006,"Doložena podpora veřejného projednání, nikoliv hlas o zastavení stavby",Všichni tři nynější kandidáti s mandátem podpořili veřejné projednání analýz.,https://www.tubrno.cz/aktuality/plan-jak-posunout-brno/,2026-09-19,vlastní sdělení kandidujícího uskupení,ano
K15-02,15,Bydlení a majetek,Zastavit prodeje městských bytů a podporovat obecní i družstevní výstavbu.,efe3592adc38d279,Bydlení,Z9-25-057;Z9-32-036;Z9-36-071;Z9-36-073,Soulad u prodeje; odlišný přístup ke konkrétním družstevním projektům,"Tři kandidáti byli proti prodeji Dornychu. U červnového výběru banky dva pro, jeden nepřítomen; u Mostecké 16 dva proti, jeden nepřítomen. V rozpravě Zemek odmítal vložení stávajícího domu jako skrytou privatizaci.",https://www.tubrno.cz/aktuality/plan-jak-posunout-brno/,2026-09-19,vlastní sdělení kandidujícího uskupení,ano
K15-03,15,SAKO,Podporovat další kotel brněnské spalovny.,efe3592adc38d279,Energetika a životní prostředí,Z9-11-007,"Doložen odpor k tajné proceduře, nikoliv tajný hlas","Dva nynější kandidáti proti tajné volbě, jeden nepřítomen.",https://www.tubrno.cz/aktuality/plan-jak-posunout-brno/,2026-09-19,vlastní sdělení kandidujícího uskupení,ano
K15-04,15,Stadion,Stadion za Lužánkami má financovat soukromý investor; město má zajistit průhledný a právně čistý postup.,efe3592adc38d279,Sport,Z9-28-030;Z9-36-009,"Porovnávat podmíněný souhlas a kontrolní kroky, nikoliv prosté ano/ne stadionu",,https://www.tubrno.cz/aktuality/plan-jak-posunout-brno/,2026-09-19,vlastní sdělení kandidujícího uskupení,ano
K15-05,15,Parkování,"Část příjmů z parkování vracet do lokalit, kde byly vybrány.",efe3592adc38d279,Doprava – parkování,,Nový závazek; samotné minulé hlasování jej neověří,Samostatný nový finanční mechanismus; z hlasu o celém rozpočtu jej nelze odvodit.,https://www.tubrno.cz/aktuality/plan-jak-posunout-brno/,2026-09-19,vlastní sdělení kandidujícího uskupení,ne
K16-01,16,Bezpečnost a čistota,Posílit strážníky a zřídit nepřetržité úklidové čety.,b0b7232944a526b8,zpráva o zahájení kampaně 31. 8. 2026,,Nový závazek; samotné minulé hlasování jej neověří,Mediálně zachycené vyjádření kandidáta. Celkový rozpočtový hlas není přímý hlas o tomto slibu.,https://www.metro.cz/kraje/jihomoravsky-kraj/spd-se-chce-v-brne-zamerit-na-bezpecnost-ci-reseni-bezdomovectvi.A260831_181618_metro-brno-zpravy_air,2026-09-19,zpravodajství,ne
K16-02,16,Sociální služby,Postavit stacionář pro lidi bez domova podle inspirace ze Svitav.,b0b7232944a526b8,zpráva o zahájení kampaně 31. 8. 2026,,Nový závazek; samotné minulé hlasování jej neověří,,https://www.metro.cz/kraje/jihomoravsky-kraj/spd-se-chce-v-brne-zamerit-na-bezpecnost-ci-reseni-bezdomovectvi.A260831_181618_metro-brno-zpravy_air,2026-09-19,zpravodajství,ne
